created_at,water_temp,water_ph,disolved_oxg,tds,status
2026-07-18 12:09:25.014909,27.562,5.409,0.018,46,bahaya
2026-07-18 12:19:28.297241,28.062,7.605,0.035,389,normal
2026-07-18 12:24:36.869013,28.062,4.638,0.008,399,bahaya
2026-07-18 12:29:46.609950,28.125,4.959,0.136,387,bahaya
2026-07-18 12:34:56.400400,28.312,7.638,12.981,422,ideal
2026-07-18 12:40:06.255363,28.375,7.355,11.194,424,normal
2026-07-18 12:45:12.256467,28.500,7.280,7.944,422,normal
2026-07-18 12:50:18.247204,28.625,6.872,11.234,425,normal
2026-07-18 12:55:23.087370,28.688,6.421,6.592,390,normal
2026-07-18 12:59:28.333659,28.688,6.124,4.196,390,normal
2026-07-18 13:04:34.408506,28.812,7.146,9.230,389,normal
2026-07-18 13:09:36.478338,28.875,7.127,8.400,388,normal
2026-07-18 13:14:39.410178,29.000,6.858,10.474,389,normal
2026-07-18 13:19:40.708257,29.062,7.499,4.586,418,normal
2026-07-18 13:24:42.806640,29.125,7.383,9.605,423,normal
2026-07-18 13:29:43.023082,29.188,7.006,3.151,418,normal
2026-07-18 13:34:43.218186,29.250,6.654,6.451,418,normal
2026-07-18 13:39:43.353833,29.312,7.638,4.496,418,normal
2026-07-18 13:44:46.677346,29.375,6.825,9.635,420,normal
2026-07-18 13:49:52.699377,29.438,6.751,9.011,403,normal
2026-07-18 13:54:52.886386,29.500,7.160,7.841,403,normal
2026-07-18 13:59:53.099171,29.625,6.844,7.571,406,normal
2026-07-18 14:04:53.281969,29.688,5.781,6.587,411,normal
2026-07-18 14:10:00.640682,29.750,6.951,10.806,390,normal
2026-07-18 14:15:04.758009,29.812,7.002,12.095,406,normal
2026-07-18 14:20:04.974052,29.875,6.454,9.155,406,normal
2026-07-18 14:57:37.161989,30.250,5.316,9.774,392,normal
2026-07-18 15:02:39.242957,30.375,5.228,10.768,394,normal
2026-07-18 15:07:13.409467,30.312,6.677,6.874,394,normal
2026-07-18 15:12:20.645802,30.375,5.535,4.999,394,normal
2026-07-18 15:17:20.852216,30.375,7.879,8.591,409,normal
2026-07-18 15:22:21.057839,30.375,6.714,10.929,402,normal
2026-07-18 15:27:21.201507,30.438,6.287,12.442,406,normal
2026-07-18 15:32:25.337642,30.438,6.979,9.472,378,normal
2026-07-18 15:37:26.678779,30.438,6.988,6.585,401,normal
2026-07-18 15:42:36.670247,30.500,5.706,7.395,400,normal
2026-07-18 15:47:42.667676,30.562,6.570,12.193,400,normal
2026-07-18 15:53:01.990852,30.562,5.869,5.651,401,normal
2026-07-18 15:57:35.768396,30.562,6.872,9.711,401,normal
2026-07-18 16:02:42.901773,30.625,7.006,8.329,399,normal
